id,c,value,experiment_id,app_name,request_size
1,1000,0.0297875,1,javahttp,big
2,1001,0.028087,1,javahttp,big
3,1002,0.0305741,1,javahttp,big
4,1003,0.0143946,1,javahttp,big
5,1004,0.03638,1,javahttp,big
6,1005,0.0291712,1,javahttp,big
7,1006,0.0318901,1,javahttp,big
8,1007,0.0313551,1,javahttp,big
9,1008,0.0140366,1,javahttp,big
10,1009,0.0290079,1,javahttp,big
11,1010,0.013818,1,javahttp,big
12,1011,0.00985663,1,javahttp,big
13,1012,0.0137156,1,javahttp,big
14,1013,0.029521,1,javahttp,big
15,1014,0.0141839,1,javahttp,big
16,1015,0.0269722,1,javahttp,big
17,1016,0.011945,1,javahttp,big
18,1017,0.0146186,1,javahttp,big
19,1018,0.0313927,1,javahttp,big
20,1019,0.0171532,1,javahttp,big
21,1020,0.0199483,1,javahttp,big
22,1021,0.0141225,1,javahttp,big
23,1022,0.0307185,1,javahttp,big
24,1023,0.0170679,1,javahttp,big
25,1024,0.0174093,1,javahttp,big
26,1025,0.0320319,1,javahttp,big
27,1026,0.0288434,1,javahttp,big
28,1027,0.0302779,1,javahttp,big
29,1028,0.0348762,1,javahttp,big
30,1029,0.0322542,1,javahttp,big
31,1030,0.0315055,1,javahttp,big
32,0,0.0398196,1,gohttp,big
33,1,0.0777612,1,gohttp,big
34,2,0.0755495,1,gohttp,big
35,3,0.102671,1,gohttp,big
36,4,0.0427903,1,gohttp,big
37,5,0.0866333,1,gohttp,big
38,6,0.0490484,1,gohttp,big
39,7,0.0748742,1,gohttp,big
40,8,0.0538653,1,gohttp,big
41,9,0.0835494,1,gohttp,big
42,10,0.0426646,1,gohttp,big
43,11,0.0459983,1,gohttp,big
44,12,0.0393575,1,gohttp,big
45,13,0.0813216,1,gohttp,big
46,14,0.0420853,1,gohttp,big
47,15,0.0813164,1,gohttp,big
48,16,0.083453,1,gohttp,big
49,17,0.0861798,1,gohttp,big
50,18,0.0904115,1,gohttp,big
51,19,0.0675644,1,gohttp,big
52,20,0.0435413,1,gohttp,big
53,21,0.0413482,1,gohttp,big
54,22,0.0413697,1,gohttp,big
55,23,0.0431059,1,gohttp,big
56,24,0.0867431,1,gohttp,big
57,25,0.0802624,1,gohttp,big
58,26,0.0706096,1,gohttp,big
59,27,0.0828514,1,gohttp,big
60,28,0.0421894,1,gohttp,big
61,29,0.0416159,1,gohttp,big
62,30,0.0430289,1,gohttp,big
63,1000,0.0100081,1,javagrpc,big
64,1001,0.00871021,1,javagrpc,big
65,1002,0.0177701,1,javagrpc,big
66,1003,0.0234675,1,javagrpc,big
67,1004,0.00823956,1,javagrpc,big
68,1005,0.0127901,1,javagrpc,big
69,1006,0.0221476,1,javagrpc,big
70,1007,0.0174717,1,javagrpc,big
71,1008,0.0087301,1,javagrpc,big
72,1009,0.0145362,1,javagrpc,big
73,1010,0.00864993,1,javagrpc,big
74,1011,0.00852009,1,javagrpc,big
75,1012,0.00846199,1,javagrpc,big
76,1013,0.0082927,1,javagrpc,big
77,1014,0.0187583,1,javagrpc,big
78,1015,0.0222574,1,javagrpc,big
79,1016,0.0188451,1,javagrpc,big
80,1017,0.00859181,1,javagrpc,big
81,1018,0.00966792,1,javagrpc,big
82,1019,0.0179488,1,javagrpc,big
83,1020,0.0193575,1,javagrpc,big
84,1021,0.00970442,1,javagrpc,big
85,1022,0.00879396,1,javagrpc,big
86,1023,0.00921993,1,javagrpc,big
87,1024,0.0246326,1,javagrpc,big
88,1025,0.0066367,1,javagrpc,big
89,1026,0.020788,1,javagrpc,big
90,1027,0.0263758,1,javagrpc,big
91,1028,0.00579962,1,javagrpc,big
92,1029,0.0178178,1,javagrpc,big
93,1030,0.0234997,1,javagrpc,big
94,0,0.00729509,1,gogrpc,big
95,1,0.0138465,1,gogrpc,big
96,2,0.0157679,1,gogrpc,big
97,3,0.0225019,1,gogrpc,big
98,4,0.0177286,1,gogrpc,big
99,5,0.0164866,1,gogrpc,big
100,6,0.0176765,1,gogrpc,big
101,7,0.00827294,1,gogrpc,big
102,8,0.013452,1,gogrpc,big
103,9,0.00858534,1,gogrpc,big
104,10,0.00882323,1,gogrpc,big
105,11,0.00619667,1,gogrpc,big
106,12,0.0174044,1,gogrpc,big
107,13,0.0128311,1,gogrpc,big
108,14,0.0172345,1,gogrpc,big
109,15,0.0161299,1,gogrpc,big
110,16,0.0180916,1,gogrpc,big
111,17,0.00877707,1,gogrpc,big
112,18,0.0172612,1,gogrpc,big
113,19,0.00877031,1,gogrpc,big
114,20,0.00892038,1,gogrpc,big
115,21,0.0176282,1,gogrpc,big
116,22,0.00896265,1,gogrpc,big
117,23,0.0150164,1,gogrpc,big
118,24,0.005572,1,gogrpc,big
119,25,0.0213478,1,gogrpc,big
120,26,0.0200836,1,gogrpc,big
121,27,0.0160159,1,gogrpc,big
122,28,0.0123811,1,gogrpc,big
123,29,0.0126042,1,gogrpc,big
124,30,0.0148559,1,gogrpc,big
