Time,__name__,c,container,endpoint,instance,job,namespace,pod,service,Value
2023-11-07 20:05:00,request_timer_sum,0,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,288
2023-11-07 20:05:00,request_timer_sum,1,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,980
2023-11-07 20:05:00,request_timer_sum,10,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,112
2023-11-07 20:05:00,request_timer_sum,100,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,108
2023-11-07 20:05:00,request_timer_sum,101,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,100
2023-11-07 20:05:00,request_timer_sum,102,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,112
2023-11-07 20:05:00,request_timer_sum,103,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,110
2023-11-07 20:05:00,request_timer_sum,104,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,122
2023-11-07 20:05:00,request_timer_sum,105,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,151
2023-11-07 20:05:00,request_timer_sum,106,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,130
2023-11-07 20:05:00,request_timer_sum,107,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,128
2023-11-07 20:05:00,request_timer_sum,108,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,130
2023-11-07 20:05:00,request_timer_sum,109,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,130
2023-11-07 20:05:00,request_timer_sum,11,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,104
2023-11-07 20:05:00,request_timer_sum,110,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,154
